DAYS_BIRTH,CODE_GENDER,AMT_INCOME_TOTAL,AMT_CREDIT,ZIP_CODE,NAME_EDUCATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,TARGET
-9755,M,259109.36992109427,971769.0678132229,10002,Incomplete higher,0.4788813521825601,0.49415322359809577,0.5360672668886253,0
-24690,M,144160.0880869628,345560.32645768434,10001,Incomplete higher,0.7513047012097939,0.7818927084903275,0.4286887796123935,0
-20160,M,88236.03844402543,268882.65431018785,10003,Higher education,0.46744249908265123,0.6601303889505533,0.11068281203548591,0
-13586,M,59133.31204367042,280023.916342978,10002,Secondary,0.017225327367926035,0.4359349047817289,0.7549673976059635,0
-14266,F,239387.36694992284,275153.40498925286,10003,Higher education,0.5431934078103361,0.11894392458004954,0.6890815882366191,0
-19285,F,193248.760364702,579950.7440626128,10001,Higher education,0.6251852187612016,0.957156922368007,0.3947291382715882,0
-8700,M,201200.51204883805,888841.8605456414,10002,Secondary,0.9812074187185617,0.2703705254504867,0.380815356748068,0
-21124,F,134194.12813406164,449804.89463541814,10003,Secondary,0.04079284826061769,0.2778345458750173,0.15593511494594314,0
-11127,M,157386.28253890647,331688.76817799144,10002,Higher education,0.5120969574551338,0.6455022218385325,0.7535493470877495,1
-14187,M,119013.6322316751,308331.5376861799,10003,Incomplete higher,0.09815475670836182,0.7705096221471027,0.5995739043397662,0
-9527,M,166076.16685218643,617979.7990943234,10002,Higher education,0.14899590157096043,0.9841527653173495,0.08579344551294565,1
-17228,F,48008.04154304328,219072.5792600598,10003,Secondary,0.610463338968476,0.9691642606278063,0.37806345843691347,0
-23865,M,126815.79002816111,147647.24854923424,10001,Secondary,0.2315677122664973,0.9137605242320807,0.9035609425685026,0
-24781,M,149144.83548009733,191823.41876521803,10001,Incomplete higher,0.7491741112950245,0.4353135673833498,0.4523746016562262,1
-23117,M,203837.16805864876,468867.4962415581,10003,Incomplete higher,0.5141986925952727,0.1666696597564481,0.3249274993005772,1
-20239,F,156617.8963124409,302447.75423592806,10001,Secondary,0.21821288516573722,0.5844712032866277,0.6437840754485948,0
-20499,M,220274.1807497333,453703.91642149846,10001,Higher education,0.493791677601065,0.017256505546768053,0.2029723776840583,1
-19130,F,232756.17847475546,438764.0156398532,10003,Incomplete higher,0.0008817269081207169,0.19624883899539347,0.5238033982071795,0
-7982,F,241973.67302452112,431511.69839127635,10003,Incomplete higher,0.862740043657841,0.0025293967947646046,0.6695227535636455,0
-19154,F,185688.44085322003,282709.8838373059,10003,Higher education,0.012678377055762802,0.18053591257153878,0.8548784159750777,1
-16884,F,164894.94326193273,780912.1975484263,10003,Secondary,0.0070098924921825345,0.4747571233962561,0.69250430277787,0
-22803,M,114399.92138655658,180380.97472909116,10001,Higher education,0.6115039431796471,0.3933243110934159,0.3844097971685644,0
-25361,M,206122.9690550579,374652.22081799246,10001,Secondary,0.9735209257900829,0.3692965649266392,0.767800173348311,0
-22545,F,241692.92575961107,479775.6591325107,10001,Incomplete higher,0.8559334843539788,0.8309528639338625,0.8983999280708418,0
-23651,F,170582.923554738,807208.5426692982,10003,Secondary,0.25201891258945164,0.674996304645678,0.4777636246599396,0
-24283,F,249276.74774517238,1002804.5935417287,10003,Higher education,0.1966668111476857,0.936431762871106,0.004500785483282366,0
-7638,F,88192.62531760873,366775.2892029898,10002,Higher education,0.6261121806334554,0.44534109067767247,0.8809180259518441,0
-14156,F,103815.91974393904,147318.22000299284,10003,Higher education,0.8226377470220774,0.2722296754759518,0.16544199160875095,0
-21994,F,200271.9091197708,870229.4102601927,10001,Higher education,0.36207867090002976,0.12268453803335555,0.12632550498037332,0
-21660,F,170172.36744875633,448025.09988505195,10001,Secondary,0.4323545903670759,0.672027395685146,0.3076785657400315,1
-16712,F,236579.6331445036,485293.9336375243,10002,Higher education,0.11548951367775118,0.841741088471657,0.3799837453907612,1
-11048,M,190236.61772868628,628351.6119123363,10002,Secondary,0.15282642125535917,0.1837393642617563,0.799376698186652,0
-14923,F,119016.03719401706,510427.8423898947,10003,Secondary,0.5683515950260208,0.8787527445125362,0.38918338511312867,0
-16758,M,168018.34265734546,691329.7183780784,10002,Incomplete higher,0.10265614574843696,0.5262762016953331,0.04882116635418332,0
-14995,M,90037.32557486038,410569.2979747145,10002,Higher education,0.202046124795901,0.1440806321409519,0.6359616799906118,1
-15297,F,104084.19775815438,490499.7737379127,10003,Higher education,0.23467702401188406,0.6428633249017549,0.6712210234300083,0
-17117,M,238675.9718076203,466012.03903506714,10002,Higher education,0.44392453321363035,0.5200527415372135,0.8142209208321036,1
-15317,M,236890.02394568844,638520.8507429998,10002,Higher education,0.04561196412363622,0.028183547312732316,0.3988660806611317,0
-14534,M,207294.84701861706,219424.53020510037,10003,Higher education,0.4997709716929386,0.3992432047266242,0.08607107620767707,1
-22938,F,65776.55985074435,297131.57484556054,10003,Higher education,0.9286744063940815,0.784787992942911,0.5530622776945526,0
-9763,F,154930.7158837408,250722.61221844383,10002,Incomplete higher,0.02446366111907261,0.5554237534221071,0.12099738257750658,0
-8391,F,105438.89702479594,468770.7131370229,10002,Secondary,0.6309848652074653,0.28204112626253053,0.01707532302430992,1
-13344,M,260436.25574479657,603573.859056776,10002,Higher education,0.8358423651515423,0.9286417633825497,0.7785834718513456,0
-17324,F,131705.0175571105,325645.1812844222,10003,Higher education,0.31246084254917716,0.2377790380438599,0.40341060033838405,0
-11009,F,110964.74735819678,128333.95028762925,10002,Secondary,0.1315185450192249,0.2527360069326161,0.525005172062436,0
-22398,M,172394.9037467244,397803.8537404765,10001,Secondary,0.04333978760926305,0.35463934628026306,0.662849202768534,1
-23965,M,132045.96553410124,601265.3264977931,10001,Incomplete higher,0.6439030594358025,0.8945378612561284,0.40102766671123835,0
-21607,M,257261.9931224239,283551.4944489916,10003,Secondary,0.5522343802290683,0.5076253954255163,0.05113159247739574,0
-24529,F,114526.71982116309,300668.1304662171,10001,Secondary,0.22929498839199758,0.6821790592258289,0.2527436577079606,0
-13897,F,90259.84352931932,101596.34622442558,10002,Secondary,0.831617307631748,0.9762641725102805,0.19434119133794547,0
-14745,F,47369.54035581739,117651.42897430484,10002,Secondary,0.7355063521523434,0.7832962968923645,0.9773940208242655,0
-12133,M,187318.6498997724,316673.8968949553,10003,Incomplete higher,0.27642878498678314,0.17260011865109326,0.7395054540254599,1
-17561,F,132576.22872923466,266328.8823119057,10002,Secondary,0.7533630228646339,0.7883539290399766,0.45154999826319253,0
-15858,F,86898.36230657165,391945.8078691271,10002,Secondary,0.24499421350077255,0.7483371492260189,0.06336739645751432,0
-12560,F,239279.433600714,656629.8757304694,10002,Incomplete higher,0.6752674618663609,0.2326169944772256,0.11585052247827055,0
-18677,F,197173.20306915042,413115.71090360935,10003,Secondary,0.11854504107387942,0.32534983088761593,0.8128995692714147,0
-19875,M,173613.13988625203,582880.6848921133,10003,Higher education,0.6922394633332072,0.7101282398630768,0.9454490938370006,0
-25389,M,240461.46243095532,377146.45196279447,10001,Incomplete higher,0.23877441898226026,0.23839309406785858,0.031350184475328446,0
-21253,F,191750.3180181574,390704.010874918,10003,Higher education,0.5724693542417141,0.2081868690026193,0.9103971226882759,0
-24555,F,110044.19581612725,350489.86906034243,10001,Higher education,0.17246386685188253,0.7034727721303311,0.38056371338599193,0
